"","user","user_url","rating_num","review_num","pos_dist","mixed_dist","neg_dist","avg_score"
"1","KillyShin","https://www.metacritic.com/user/KillyShin",1,1,0,0,1,"0.0"
"2","Shipwreck5226","https://www.metacritic.com/user/Shipwreck5226",1,1,0,0,1,"0.0"
"3","nfessx","https://www.metacritic.com/user/nfessx",12,1,0,0,1,"2.5"
"4","MichaelxAngelo","https://www.metacritic.com/user/MichaelxAngelo",3,1,0,0,1,"0.0"
"5","AnonymousGamer0","https://www.metacritic.com/user/AnonymousGamer0",1,1,0,0,1,"0.0"
"6","jasmines","https://www.metacritic.com/user/jasmines",1,1,0,0,1,"0.0"
"7","TheRiddlerSly","https://www.metacritic.com/user/TheRiddlerSly",2,1,0,0,1,"0.0"
"8","Vyache0","https://www.metacritic.com/user/Vyache0",1,1,0,0,1,"0.0"
"9","The-Bas","https://www.metacritic.com/user/The-Bas",5,1,0,0,1,"0.0"
"10","Midasitm","https://www.metacritic.com/user/Midasitm",1,1,0,0,1,"0.0"
"11","kasai16","https://www.metacritic.com/user/kasai16",1,1,0,0,1,"0.0"
"12","Sijun","https://www.metacritic.com/user/Sijun",40,40,34,4,2,"8.4"
"13","colhezu","https://www.metacritic.com/user/colhezu",1,1,0,0,1,"0.0"
"14","Chress","https://www.metacritic.com/user/Chress",4,4,1,0,3,"2.5"
"15","DeLarge93","https://www.metacritic.com/user/DeLarge93",1,1,0,0,1,"0.0"
"16","NiosSage","https://www.metacritic.com/user/NiosSage",2,1,0,0,1,"0.0"
"17","Hello_There23","https://www.metacritic.com/user/Hello_There23",1,1,0,0,1,"0.0"
"18","DarkeMagus","https://www.metacritic.com/user/DarkeMagus",4,4,1,0,3,"2.3"
"19","Hellspeller","https://www.metacritic.com/user/Hellspeller",15,15,0,3,12,"3.4"
"20","skylyn","https://www.metacritic.com/user/skylyn",1,1,0,0,1,"0.0"
"21","Citizenmane","https://www.metacritic.com/user/Citizenmane",1,1,0,0,1,"0.0"
"22","Dave6543","https://www.metacritic.com/user/Dave6543",2,2,1,0,1,"0.0"
"23","karimmedia_","https://www.metacritic.com/user/karimmedia_",1,1,0,0,1,"0.0"
"24","Fangenijus","https://www.metacritic.com/user/Fangenijus",3,3,1,1,1,"0.0"
"25","NarmanHammer","https://www.metacritic.com/user/NarmanHammer",3,3,2,0,1,"0.0"
"26","mati2172","https://www.metacritic.com/user/mati2172",1,1,0,0,1,"0.0"
"27","serkanak","https://www.metacritic.com/user/serkanak",4,3,2,0,1,"5.0"
"28","Orlando2109","https://www.metacritic.com/user/Orlando2109",1,1,0,0,1,"0.0"
"29","Bulgwang","https://www.metacritic.com/user/Bulgwang",1,1,0,0,1,"0.0"
"30","chomusuke","https://www.metacritic.com/user/chomusuke",1,1,0,0,1,"0.0"
"31","Indicta","https://www.metacritic.com/user/Indicta",2,2,0,0,2,"0.0"
"32","xxP4L4D1Nxx","https://www.metacritic.com/user/xxP4L4D1Nxx",1,1,0,0,1,"0.0"
